videoId,publishedAt,authorDisplayName,textDisplay
6Q9ypqWyN-w,2023-07-11,Dirk Damen,logies he deze leugenaars en moordenaars
wYa0xBh3FSE,2023-07-12,torre bols,God bewaar ons voor dit!
wYa0xBh3FSE,2023-07-12,mo bayat,Deze mensen hebben zelf niet door waar ze mee bezig zijn
wYa0xBh3FSE,2023-07-12,frans klaasen,"A.U.B absoluut geen groenlinks, dommer zouden de kiezers niet kunnen stemmen."
wYa0xBh3FSE,2023-07-13,Marco van Reesch,Die 2 samen wordt niks.ik zeg hoge kiesdrempel. Meer kans voor geert💪🌏🥳🤴
wYa0xBh3FSE,2023-07-13,Pe Rietveld,"Samenwerken, hahaha ja inderdaad. Dat gaat dus ook op voor partijen die kritisch zijn, maar daar willen  jullie dan weer niet samenwerken.  Een tegengeluid is goed voor de balans anders wordt het zo voorspelbaar, of is dat juist de bedoeling??"
wYa0xBh3FSE,2023-07-13,Malorix,Je zou haast zeggen dat de twee partijen onderling geen bestaansrecht meer hebben...hoe zwak en goedkoop..!
wYa0xBh3FSE,2023-07-13,Dick Snoeren,Lijst rukkers zijn al bekend
wYa0xBh3FSE,2023-07-13,Illusion nl,het maakt het wel makkelijker kiezen nu FVD of pvv....iets anders is er niet
4SR37IrbA6c,2023-07-13,Julio Flores,"Die mannelijk uitzien en klinken ""journalist"" doet alsof ze grappig of intelligent uitval maar het is smakeloos, respectloos en onprofessioneel hoe ze gedraag en het ergste is dat haar gedrag het is de stempel van alle Pow medewerkers."
wYa0xBh3FSE,2023-07-14,Moby Whale,Klavertje niet nog nooit in de maatschappij een normale baan heeft gehad ruikt bloed😂😂😂
wYa0xBh3FSE,2023-07-14,Jan De jong,Klaver moet maar eens uitkijken voor Ellemeet.
wYa0xBh3FSE,2023-07-15,Olivier Koers,Als deze twee partijen aan de macht komen zijn we verloren.
wYa0xBh3FSE,2023-07-15,Tropical Paradise,Je moet er toch niet aan denken dat deze 2 partijen de grootste worden. Nog meer reden om BBB/VVD te stemmen
wYa0xBh3FSE,2023-07-15,Rudels Harm,"pvda en groen links horen twee hele verschillende  partijen te zijn, pvda was altijd een partij van het volk,  nu niet  meer , alleen maar klimaat"
wYa0xBh3FSE,2023-07-15,YEET,Het doel is dus BBB verslaan.
wYa0xBh3FSE,2023-07-15,Paul,Met vage toezeggingen vol vertrouwen de toekomst in…..
wYa0xBh3FSE,2023-07-15,Marjan Keuzenkamp,Als er gekozen moet worden dan liever Martin Bosma!
wYa0xBh3FSE,2023-07-15,John de Jong,"Klaver zegt""""""we hebben in Nederland geen kiesdrempel  dus we zullen moeten samenwerken  samenwerken door uitsluiting!!!!"
wYa0xBh3FSE,2023-07-15,Howard Holland,Hoe kan een hardwerkende arbeider stemmen op een partij met irritante uitnemers.
4SR37IrbA6c,2023-07-15,Ayrton senna,"Nu over rechts, midden rechts in november"
wYa0xBh3FSE,2023-07-16,611jrj,"Diederik en Wouter hielden het bij een kopje koffie drinken met GroenLinks, toen was de PvdA nog een partij die kiezers aansprak. Deze samenwerking is teken van politieke armoede😢"
