videoId,publishedAt,kind,title,description,channelTitle,liveBroadcastContent
SHj6xX52cls,2023-07-18,youtube#video,PvdA en GroenLinks met één lijst de verkiezingen in: “Dit doet recht aan waar we naar toe moeten”,De PvdA en GroenLinks gaan met een gezamenlijke lijst en met één verkiezingsprogramma meedoen aan de Tweede ...,OOG Groningen,none
CKapT7tDZ-k,2023-07-18,youtube#video,PvdA en GroenLinks een setje: &#39;Wanhopig!’,PvdA en GroenLinks gaan als een nieuw bruidspaar definitief samen de Tweede Kamerverkiezingen in. Wat vindt Nederland ...,Omroep PowNed,none
IyoW0b6UD3c,2023-07-20,youtube#video,Frans Timmermans wil lijsttrekker van PvdA/GroenLinks worden; steun van prominenten,"Dit is een fragment uit BREEKT met presentator Iwan Verrips en panelleden Laura Bas, Gen-Z expert en Hidde Bruinsma, maker ...",BNR,none
_zzl6kSK0vE,2023-07-20,youtube#video,Prominenten GL en PvdA blij met kandidatuur Timermans: &#39;Ga ervan uit dat hij vier jaar blijft&#39;,Prominenten van zowel PvdA en GroenLinks zijn blij met de kandidaatstelling van Frans Timmermans voor lijsttrekker voor de ...,WNL,none
lviJDB6Jn5c,2023-07-21,youtube#video,PvdA &amp; GroenLinks willen gratis OV invoeren,De PvdA en GroenLinks in Zeeland pleiten voor baanbrekende experimenten: gratis OV voor iedereen om ervoor te zorgen dat ...,BNR,none
o5lpkze2Urk,2023-07-21,youtube#video,GroenLinks en PvdA over nationale samenwerking,Meer lezen? 🖥️ www.rtvdordrecht.nl Welkom op het YouTube kanaal van RTV Dordrecht. Hier vind je al onze video's van ...,RTV Dordrecht,none
8nY0093YaY0,2023-08-04,youtube#video,Nu al scheuren in linkse alliantie GroenLinks PvdA,"Wil je op de hoogte blijven van nieuwe uploads, abonneer je dan (gratis) via deze link: https://bit.ly/3ck0Xix Maarten van Rossem ...",Maarten van Rossem - De Podcast,none
lYO2Cw7iINc,2023-08-05,youtube#video,Geheime bijeenkomst GL/PvdA: ‘Heel goed gesprek!’,Een strikt geheime bijeenkomst van GroenLinks/PvdA? Daar staat PowNed natuurlijk voor de deur. Even Frans Timmermans ...,Omroep PowNed,none
xKMQI-pqDZQ,2023-08-11,youtube#video,JA21 sluit samenwerking Groenlinks-PvdA uit: &#39;Alleen een rechts kabinet&#39;,Huidig partijleider van JA21 Joost Eerdmans sluit een eventuele samenwerking met Groenlinks-PvdA uit. Dat zegt hij bij Sven op ...,WNL,none
Nm5HQEYCFjo,2023-08-18,youtube#video,Rutger over riante wachtgeldregeling Timmermans: &#39;Grote miskleun van PvdA/GroenLinks&#39;,Rutger vindt het een blunder dat Frans Timmermans niet afziet van het wachtgeld dat hij van de EU krijgt. Kijk iedere werkdag om ...,Vandaag Inside,none
